КодЗаказа	ДатаРазмещения	ДатаИсполнения	Марка	Категория	Цена	Скидка	Количество	БазоваяЦена	Заказчик	ГородЗаказчика	СтранаЗаказчика	НазваниеПолучателя	СтранаПолучателя	Менеджер	Филиал	Поставщик	ГородПоставщика	СтранаПоставщика	Перевозчик	СтоимостьДоставки	СтоимостьДоставкиШт	ПоставкиПрекращены
10255	12.07.1996	15.07.1996	Escargots de Bourgogne	Рыбопродукты	440	0	30	596,25	Richter Supermarkt	Женева	Швейцария	Richter Supermarkt	Швейцария	Ясенева	Украина	Escargots Nouveaux	Монсо	Франция	Иное	148,33	2,62056615137523	0
10256	15.07.1996	17.07.1996	Filo Mix	Хлебобулочные изделия	262	0	15	315	Wellington Importadora	Ресенде	Бразилия	Wellington Importadora	Бразилия	Бабкина	Украина	G'day, Mate	Сидней	Австралия	Почта	13,97	0,706863653920433	0
10256	15.07.1996	17.07.1996	Tofu	Фрукты	104	0	12	1046,25	Wellington Importadora	Ресенде	Бразилия	Wellington Importadora	Бразилия	Бабкина	Украина	Mayumi's	Осака	Япония	Почта	13,97	0,280587099266126	0
10257	16.07.1996	22.07.1996	Cote de Blaye	Напитки	144	0	6	11857,5	HILARION-Abastos	Сан-Кристобаль	Венесуэла	HILARION-Abastos	Венесуэлла	Воронова	Украина	Aux joyeux ecclesiastiques	Париж	Франция	Иное	81,91	1,05322260916153	0
10257	16.07.1996	22.07.1996	Tofu	Фрукты	104	0	15	1046,25	HILARION-Abastos	Сан-Кристобаль	Венесуэла	HILARION-Abastos	Венесуэлла	Воронова	Украина	Mayumi's	Осака	Япония	Иное	81,91	0,760660773283329	0
10257	16.07.1996	22.07.1996	Rod Kaviar	Рыбопродукты	351	0	25	675	HILARION-Abastos	Сан-Кристобаль	Венесуэла	HILARION-Abastos	Венесуэлла	Воронова	Украина	Svensk Sjofoda AB	Стокгольм	Швеция	Иное	81,91	2,56723010983124	0
10258	17.07.1996	23.07.1996	Pavlova	Кондитерские изделия	152	0,200000003	50	785,25	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Белова	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Ространс	140,51	1,05803626275637	0
10258	17.07.1996	23.07.1996	Teatime Chocolate Biscuits	Кондитерские изделия	170	0,200000003	65	414	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Белова	Россия	Specialty Biscuits, Ltd.	Манчестер	Великобритания	Ространс	140,51	1,18333003071436	0
10258	17.07.1996	23.07.1996	Gorgonzola Telino	Молочные продукты	256	0,200000003	6	562,5	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Белова	Россия	Formaggi Fortini s.r.l.	Равенна	Италия	Ространс	140,51	1,78195581095809	0
10259	18.07.1996	25.07.1996	Laughing Lumberjack Lager	Напитки	80	0	10	630	Centro comercial Moctezuma	Мехико	Мексика	Centro comercial Moctezuma	Мексика	Воронова	Украина	Bigfoot Breweries	Бенд	США	Иное	3,25	0,257936507936508	0
10259	18.07.1996	25.07.1996	Inlagd Sill	Рыбопродукты	208	0	1	855	Centro comercial Moctezuma	Мехико	Мексика	Centro comercial Moctezuma	Мексика	Воронова	Украина	Svensk Sjofoda AB	Стокгольм	Швеция	Иное	3,25	0,670634920634921	0
10260	19.07.1996	29.07.1996	Sirop d'erable	Приправы	394	0,25	15	1282,5	Ottilies Kaseladen	Кельн	Германия	Ottilies Kaseladen	Германия	Воронова	Украина	Forots d'Erables	Сте-Хиацинте	Канада	Ространс	55,09	1,24301110983851	0
10260	19.07.1996	29.07.1996	Gnocchi di nonna Alice	Хлебобулочные изделия	156	0	50	1710	Ottilies Kaseladen	Кельн	Германия	Ottilies Kaseladen	Германия	Воронова	Украина	Pasta Buttini s.r.l.	Салерно	Италия	Ространс	55,09	0,492156683083267	0
10260	19.07.1996	29.07.1996	Uncle Bob's Organic Dried Pears	Фрукты	120	0,25	21	1350	Ottilies Kaseladen	Кельн	Германия	Ottilies Kaseladen	Германия	Воронова	Украина	Grandma Kelly's Homestead	Анн-Арбор	США	Ространс	55,09	0,378582063910205	0
10260	19.07.1996	29.07.1996	Boston Crab Meat	Рыбопродукты	77	0,25	16	828	Ottilies Kaseladen	Кельн	Германия	Ottilies Kaseladen	Германия	Воронова	Украина	New England Seafood Cannery	Бостон	США	Ространс	55,09	0,242923491009048	0
10261	19.07.1996	30.07.1996	Laughing Lumberjack Lager	Напитки	80	0	20	630	Que Delicia	Рио-де-Жанейро	Бразилия	Que Delicia	Бразилия	Воронова	Украина	Bigfoot Breweries	Бенд	США	Почта	3,05	0,0544642857142857	0
10261	19.07.1996	30.07.1996	Sasquatch Ale	Напитки	144	0	20	630	Que Delicia	Рио-де-Жанейро	Бразилия	Que Delicia	Бразилия	Воронова	Украина	Bigfoot Breweries	Бенд	США	Почта	3,05	0,0980357142857143	0
10262	22.07.1996	25.07.1996	Teatime Chocolate Biscuits	Кондитерские изделия	170	0,200000003	12	414	Rattlesnake Canyon Grocery	Альбукерке	США	Rattlesnake Canyon Grocery	США	Крылова	Россия	Specialty Biscuits, Ltd.	Манчестер	Великобритания	Иное	48,29	1,31390845070423	0
10262	22.07.1996	25.07.1996	Sir Rodney's Scones	Кондитерские изделия	240	0	15	450	Rattlesnake Canyon Grocery	Альбукерке	США	Rattlesnake Canyon Grocery	США	Крылова	Россия	Specialty Biscuits, Ltd.	Манчестер	Великобритания	Иное	48,29	1,85492957746479	0
10262	22.07.1996	25.07.1996	Pate chinois	Мясо/птица	304	0	2	1080	Rattlesnake Canyon Grocery	Альбукерке	США	Rattlesnake Canyon Grocery	США	Крылова	Россия	Ma Maison	Монреаль	Канада	Иное	48,29	2,34957746478873	0
10263	23.07.1996	31.07.1996	Laughing Lumberjack Lager	Напитки	630	0,25	60	630	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Ясенева	Украина	Bigfoot Breweries	Бенд	США	Иное	146,06	0,570546875	0
10263	23.07.1996	31.07.1996	Pavlova	Кондитерские изделия	785,25	0	28	785,25	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Ясенева	Украина	Pavlova, Ltd.	Мельбурн	Австралия	Иное	146,06	0,711145926339286	0
10263	23.07.1996	31.07.1996	Ravioli Angelo	Хлебобулочные изделия	877,5	0,25	36	877,5	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Ясенева	Украина	Pasta Buttini s.r.l.	Салерно	Италия	Иное	146,06	0,794690290178572	0
10263	23.07.1996	31.07.1996	Nord-Ost Matjeshering	Рыбопродукты	1165,05	0,25	60	1165,05	Ernst Handel	Грасс	Австрия	Ernst Handel	Австрия	Ясенева	Украина	Nord-Ost-Fisch mbH	Куксхавен	Германия	Иное	146,06	1,05510418526786	0
10264	24.07.1996	23.08.1996	Pavlova	Кондитерские изделия	152	0	35	785,25	Folk och fa HB	Брекке	Швеция	Folk och fa HB	Швеция	Акбаев	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Иное	3,67	0,0769965493443754	0
10264	24.07.1996	23.08.1996	Boston Crab Meat	Рыбопродукты	77	0,150000006	25	828	Folk och fa HB	Брекке	Швеция	Folk och fa HB	Швеция	Акбаев	Россия	New England Seafood Cannery	Бостон	США	Иное	3,67	0,0390048309178744	0
10265	25.07.1996	12.08.1996	Vegie-spread	Приправы	312	0	30	1975,5	Blondel pere et fils	Страсбург	Франция	Blondel pere et fils	Франция	Новиков	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Ространс	55,28	1,46661224489796	0
10265	25.07.1996	12.08.1996	Uncle Bob's Organic Dried Pears	Фрукты	120	0	20	1350	Blondel pere et fils	Страсбург	Франция	Blondel pere et fils	Франция	Новиков	Россия	Grandma Kelly's Homestead	Анн-Арбор	США	Ространс	55,28	0,564081632653061	0
10266	26.07.1996	31.07.1996	Gumbar Gummibarchen	Кондитерские изделия	304	0,050000001	12	1405,35	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Бабкина	Украина	АО Германия-Россия	Москва	Россия	Иное	25,73	2,14416666666667	0
10267	29.07.1996	06.08.1996	Chartreuse verte	Напитки	147	0	50	810	Frankenversand	Мюнхен	Германия	Frankenversand	Германия	Воронова	Украина	Aux joyeux ecclesiastiques	Париж	Франция	Ространс	208,58	0,760636566608782	0
10267	29.07.1996	06.08.1996	Escargots de Bourgogne	Рыбопродукты	440	0,150000006	70	596,25	Frankenversand	Мюнхен	Германия	Frankenversand	Германия	Воронова	Украина	Escargots Nouveaux	Монсо	Франция	Ространс	208,58	2,27673530141404	0
10267	29.07.1996	06.08.1996	Konbu	Рыбопродукты	144	0,150000006	15	270	Frankenversand	Мюнхен	Германия	Frankenversand	Германия	Воронова	Украина	Mayumi's	Осака	Япония	Ространс	208,58	0,745113371371868	0
10268	30.07.1996	02.08.1996	Rhonbrau Klosterbier	Напитки	990	0	10	348,75	GROSELLA-Restaurante	Каракас	Венесуэла	GROSELLA-Restaurante	Венесуэлла	Крылова	Россия	Plutzer Lebensmittelgrossmarkte AG	Франкфурт	Германия	Иное	66,29	5,95959861968761	0
10268	30.07.1996	02.08.1996	Mishi Kobe Niku	Мясо/птица	278	0	4	4365	GROSELLA-Restaurante	Каракас	Венесуэла	GROSELLA-Restaurante	Венесуэлла	Крылова	Россия	Tokyo Traders	Токио	Япония	Иное	66,29	1,67350345078097	1
10269	31.07.1996	09.08.1996	Mascarpone Fabioli	Молочные продукты	20	0,050000001	60	1440	White Clover Markets	Сиэтл	США	White Clover Markets	США	Кротов	Россия	Formaggi Fortini s.r.l.	Равенна	Италия	Ространс	4,56	0,013491124260355	0
10269	31.07.1996	09.08.1996	Mishi Kobe Niku	Мясо/птица	278	0,050000001	20	4365	White Clover Markets	Сиэтл	США	White Clover Markets	США	Кротов	Россия	Tokyo Traders	Токио	Япония	Ространс	4,56	0,187526627218935	1
10270	01.08.1996	02.08.1996	Steeleye Stout	Напитки	152	0	30	810	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Белова	Россия	Bigfoot Breweries	Бенд	США	Ространс	136,54	1,50829069767442	0
10270	01.08.1996	02.08.1996	Singaporean Hokkien Fried Mee	Хлебобулочные изделия	368	0	25	630	Wartian Herkku	Оулу	Финляндия	Wartian Herkku	Финляндия	Белова	Россия	Leka Trading	Сингапур	Сингапур	Ространс	136,54	3,6516511627907	1
10271	01.08.1996	30.08.1996	Mascarpone Fabioli	Молочные продукты	20	0	24	1440	Split Rail Beer & Ale	Лендер	США	Split Rail Beer & Ale	США	Акбаев	Россия	Formaggi Fortini s.r.l.	Равенна	Италия	Почта	4,54	0,189166666666667	0
10272	02.08.1996	06.08.1996	Louisiana Hot Spiced Okra	Приправы	648	0	6	765	Rattlesnake Canyon Grocery	Альбукерке	США	Rattlesnake Canyon Grocery	США	Акбаев	Россия	New Orleans Cajun Delights	Новый Орлеан	США	Почта	98,03	4,36287362637363	0
10272	02.08.1996	06.08.1996	Original Frankfurter grune Sosse	Приправы	100	0	40	585	Rattlesnake Canyon Grocery	Альбукерке	США	Rattlesnake Canyon Grocery	США	Акбаев	Россия	Plutzer Lebensmittelgrossmarkte AG	Франкфурт	Германия	Почта	98,03	0,673282967032967	0
10272	02.08.1996	06.08.1996	Mishi Kobe Niku	Мясо/птица	278	0	24	4365	Rattlesnake Canyon Grocery	Альбукерке	США	Rattlesnake Canyon Grocery	США	Акбаев	Россия	Tokyo Traders	Токио	Япония	Почта	98,03	1,87172664835165	1
10273	05.08.1996	12.08.1996	Guarana Fantastica	Напитки	248	0,050000001	24	202,5	QUICK-Stop	Кюневальд	Германия	QUICK-Stop	Германия	Бабкина	Украина	Refrescos Americanas LTDA	Сан-Паулу	Бразилия	Иное	76,07	0,880571321882001	1
10273	05.08.1996	12.08.1996	Chartreuse verte	Напитки	147	0,050000001	60	810	QUICK-Stop	Кюневальд	Германия	QUICK-Stop	Германия	Бабкина	Украина	Aux joyeux ecclesiastiques	Париж	Франция	Иное	76,07	0,521951549663928	0
10273	05.08.1996	12.08.1996	Original Frankfurter grune Sosse	Приправы	100	0,050000001	15	585	QUICK-Stop	Кюневальд	Германия	QUICK-Stop	Германия	Бабкина	Украина	Plutzer Lebensmittelgrossmarkte AG	Франкфурт	Германия	Иное	76,07	0,355069081404033	0
10273	05.08.1996	12.08.1996	Mascarpone Fabioli	Молочные продукты	20	0	20	1440	QUICK-Stop	Кюневальд	Германия	QUICK-Stop	Германия	Бабкина	Украина	Formaggi Fortini s.r.l.	Равенна	Италия	Иное	76,07	0,0710138162808066	0
10273	05.08.1996	12.08.1996	Konbu	Рыбопродукты	144	0,050000001	33	270	QUICK-Stop	Кюневальд	Германия	QUICK-Stop	Германия	Бабкина	Украина	Mayumi's	Осака	Япония	Иное	76,07	0,511299477221807	0
10274	06.08.1996	16.08.1996	Northwoods Cranberry Sauce	Приправы	172	0	20	1800	Vinette bistro	Реймс	Франция	Vins et alcools Chevalier	Франция	Акбаев	Россия	Grandma Kelly's Homestead	Анн-Арбор	США	Ространс	6,01	0,191927218715188	0
10274	06.08.1996	16.08.1996	Mishi Kobe Niku	Мясо/птица	278	0	7	4365	Vinette bistro	Реймс	Франция	Vins et alcools Chevalier	Франция	Акбаев	Россия	Tokyo Traders	Токио	Япония	Ространс	6,01	0,310207946528036	1
10275	07.08.1996	09.08.1996	Outback Lager	Напитки	36	0,050000001	12	675	Magazzini Alimentari Riuniti	Бергамо	Италия	Magazzini Alimentari Riuniti	Италия	Белова	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Ространс	26,93	0,3155859375	0
10275	07.08.1996	09.08.1996	Escargots de Bourgogne	Рыбопродукты	440	0,050000001	6	596,25	Magazzini Alimentari Riuniti	Бергамо	Италия	Magazzini Alimentari Riuniti	Италия	Белова	Россия	Escargots Nouveaux	Монсо	Франция	Ространс	26,93	3,85716145833333	0
10276	08.08.1996	14.08.1996	Guarana Fantastica	Напитки	248	0	15	202,5	Tortuga Restaurante	Мехико	Мексика	Tortuga Restaurante	Мексика	Крылова	Россия	Refrescos Americanas LTDA	Сан-Паулу	Бразилия	Иное	13,84	0,817219047619048	1
10276	08.08.1996	14.08.1996	Schoggi Schokolade	Кондитерские изделия	48	0	10	1975,5	Tortuga Restaurante	Мехико	Мексика	Tortuga Restaurante	Мексика	Крылова	Россия	АО Германия-Россия	Москва	Россия	Иное	13,84	0,158171428571429	0
10277	09.08.1996	13.08.1996	Sirop d'erable	Приправы	394	0	12	1282,5	Morgenstern Gesundkost	Лейпциг	Германия	Morgenstern Gesundkost	Германия	Новиков	Россия	Forots d'Erables	Сте-Хиацинте	Канада	Иное	125,77	4,12669720186542	0
10277	09.08.1996	13.08.1996	Longlife Tofu	Фрукты	364	0	20	450	Morgenstern Gesundkost	Лейпциг	Германия	Morgenstern Gesundkost	Германия	Новиков	Россия	Tokyo Traders	Токио	Япония	Иное	125,77	3,81248167888075	0
10278	12.08.1996	16.08.1996	Chartreuse verte	Напитки	0	0	1	810	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	Aux joyeux ecclesiastiques	Париж	Франция	Почта	92,69	0	0
10278	12.08.1996	16.08.1996	Ipoh Coffee	Напитки	155	0	16	2070	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	Leka Trading	Сингапур	Сингапур	Почта	92,69	0,965002015045674	0
10278	12.08.1996	16.08.1996	Chang	Напитки	0	0	1	855	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	ООО Экзотика	Москва	Россия	Почта	92,69	0	0
10278	12.08.1996	16.08.1996	Aniseed Syrup	Приправы	0	0	1	450	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	ООО Экзотика	Москва	Россия	Почта	92,69	0	0
10278	12.08.1996	16.08.1996	Tarte au sucre	Кондитерские изделия	351	0	8	2218,5	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	Forots d'Erables	Сте-Хиацинте	Канада	Почта	92,69	2,18526262761956	0
10278	12.08.1996	16.08.1996	Escargots de Bourgogne	Рыбопродукты	440	0	15	596,25	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	Escargots Nouveaux	Монсо	Франция	Почта	92,69	2,73936055883933	0
10278	12.08.1996	16.08.1996	Ikura	Рыбопродукты	120	0	25	1395	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Крылова	Россия	Tokyo Traders	Токио	Япония	Почта	92,69	0,747098334228909	0
10279	13.08.1996	16.08.1996	Vegie-spread	Приправы	312	0,25	15	1975,5	Lehmanns Marktstand	Франкфурт	Германия	Lehmanns Marktstand	Германия	Крылова	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Почта	25,83	1,722	0
10280	14.08.1996	12.09.1996	Outback Lager	Напитки	36	0	12	675	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Новиков	Россия	Pavlova, Ltd.	Мельбурн	Австралия	Ространс	8,98	0,052720156555773	0
10280	14.08.1996	12.09.1996	Queso Manchego La Pastora	Молочные продукты	62	0	30	1710	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Новиков	Россия	Cooperativa de Quesos 'Las Cabras'	Овьедо	Испания	Ространс	8,98	0,0907958251793868	0
10280	14.08.1996	12.09.1996	Tourtiere	Мясо/птица	192	0	20	335,25	Berglunds snabbkop	Лулео	Швеция	Berglunds snabbkop	Швеция	Новиков	Россия	Ma Maison	Монреаль	Канада	Ространс	8,98	0,281174168297456	0
10281	14.08.1996	21.08.1996	Outback Lager	Напитки	36	0	6	675	Romero y tomillo	Мадрид	Испания	Romero y tomillo	Испания	Воронова	Украина	Pavlova, Ltd.	Мельбурн	Австралия	Ространс	2,94	0,12235838150289	0
10281	14.08.1996	21.08.1996	Sasquatch Ale	Напитки	144	0	4	630	Romero y tomillo	Мадрид	Испания	Romero y tomillo	Испания	Воронова	Украина	Bigfoot Breweries	Бенд	США	Ространс	2,94	0,489433526011561	0
10281	14.08.1996	21.08.1996	Louisiana Fiery Hot Pepper Sauce	Приправы	73	0	1	947,25	Romero y tomillo	Мадрид	Испания	Romero y tomillo	Испания	Воронова	Украина	New Orleans Cajun Delights	Новый Орлеан	США	Ространс	2,94	0,248115606936416	0
10282	15.08.1996	21.08.1996	Lakkalikoori	Напитки	207	0	6	810	Romero y tomillo	Мадрид	Испания	Romero y tomillo	Испания	Воронова	Украина	Karkki Oy	Лапинранта	Финляндия	Ространс	12,69	1,6903667953668	0
10282	15.08.1996	21.08.1996	Gnocchi di nonna Alice	Хлебобулочные изделия	156	0	2	1710	Romero y tomillo	Мадрид	Испания	Romero y tomillo	Испания	Воронова	Украина	Pasta Buttini s.r.l.	Салерно	Италия	Ространс	12,69	1,27389961389961	0
10283	16.08.1996	23.08.1996	Louisiana Fiery Hot Pepper Sauce	Приправы	73	0	18	947,25	LILA-Supermercado	Баркисимето	Венесуэла	LILA-Supermercado	Венесуэлла	Бабкина	Украина	New Orleans Cajun Delights	Новый Орлеан	США	Иное	84,81	0,43759754028838	0
10283	16.08.1996	23.08.1996	Raclette Courdavault	Молочные продукты	272	0	35	2475	LILA-Supermercado	Баркисимето	Венесуэла	LILA-Supermercado	Венесуэлла	Бабкина	Украина	Gai paturage	Аннеси	Франция	Иное	84,81	1,63050042408821	0
10283	16.08.1996	23.08.1996	Thuringer Rostbratwurst	Мясо/птица	124	0	20	5570,55	LILA-Supermercado	Баркисимето	Венесуэла	LILA-Supermercado	Венесуэлла	Бабкина	Украина	Plutzer Lebensmittelgrossmarkte AG	Франкфурт	Германия	Иное	84,81	0,743316369804919	1
10283	16.08.1996	23.08.1996	Mishi Kobe Niku	Мясо/птица	278	0	3	4365	LILA-Supermercado	Баркисимето	Венесуэла	LILA-Supermercado	Венесуэлла	Бабкина	Украина	Tokyo Traders	Токио	Япония	Иное	84,81	1,6664673452078	1
10284	19.08.1996	27.08.1996	Ipoh Coffee	Напитки	155	0	21	2070	Lehmanns Marktstand	Франкфурт	Германия	Lehmanns Marktstand	Германия	Воронова	Украина	Leka Trading	Сингапур	Сингапур	Ространс	76,56	0,817272727272727	0
10284	19.08.1996	27.08.1996	Chef Anton's Cajun Seasoning	Приправы	112	0,25	5	990	Lehmanns Marktstand	Франкфурт	Германия	Lehmanns Marktstand	Германия	Воронова	Украина	New Orleans Cajun Delights	Новый Орлеан	США	Ространс	76,56	0,590545454545455	0
10284	19.08.1996	27.08.1996	Raclette Courdavault	Молочные продукты	272	0,25	20	2475	Lehmanns Marktstand	Франкфурт	Германия	Lehmanns Marktstand	Германия	Воронова	Украина	Gai paturage	Аннеси	Франция	Ространс	76,56	1,43418181818182	0
